Serial No,Event Date,Abstract Text,Nature of Injury
134,3/28/2017,"At 9:45 a.m. on March 28, 2017, an employee was operating a POLARIS 400 cart. The employee was ejected from the cart when it was struck by a forklift. The employee suffered several fractures and a pinched nerve. ",Serious Fall/Strike
135,3/28/2017,"At 8:30 a.m. on March 28, 2017, an employee was cutting a piece of dura block rubber with a chop saw.  The employee was removing a piece from the saw blade and accidentally turned the saw on.  The employee caught their finger with the blade and lacerated it. ",Laceration
136,3/28/2017,"At 7:50 a.m. on March 28, 2017, an employee was operating a custom-made vise (Mechanical Racking Machine) when the two pieces of metal that comprise the vise came together on her right middle and ring fingers, crushing them. The employee amputated the fingertip from both fingers. ","Amputation, Crushing"
137,3/28/2017,"At approximately 7:30 a.m. on March 28, 2017, an employee fell from the third step of a ladder and was injured. The employee was hospitalized and treated for unspecified injuries. ",Head Trauma
138,3/28/2017,"At 6:15 p.m. on March 28, 2017, an employee was getting a roll of shrink wrap off of a coworker's forklift when their toes were run over by the forklift, fracturing them. ","Fracture, Broken Bones"
139,3/28/2017,"At 6:20 a.m. on March 28, 2017, an employee was changing the die in press brake 1182 and the machine cycled, catching their right index finger.  The employee's right index finger was amputated. ","Amputation, Crushing"
140,3/28/2017,"At 5:30 p.m. on March 28, 2017, an employee was using an overhead crane to move three bundles of 16 gauge metal plates. The employee was struck by the load when the plates slipped out of one end of the ""man saver"" lifting device. The employee suffered multiple injuries to include a broken right forearm and several lacerations to both arms. ","Fracture, Broken Bones"
141,3/28/2017,"At 5:30 a.m. on March 28, 2017, an employee was removing the end cap that was located on the front of the temperature control skid of a reactor. The employee suffered second degree burns on their left arm, leg, and body when steam and hot water sprang from the end of the pipe. ",Fire Burn
142,3/28/2017,"At approximately 4:21 p.m. on March 28, 2017, an employee was cleaning equipment. The employee reached under guard to remove debris without deenergizing the machine. The machine cycled, amputating the employees left index finger. ","Amputation, Crushing"
143,3/28/2017,"At approximately 3:00 p.m. on March 28, 2017, an employee was retrieving a window, while standing in a forklift, from a wooden box loaded on a forklift. After placing his foot on the  scissor lift's midrail, the employee exited the lift and placed his other foot inside the wooden box loaded on the forklift. This caused the wooden box to fall and the employee fell to the ground below. The employee was hospitalized and treated for fractures to his wrist, nose and lower back. ",Head Trauma
144,3/28/2017,"At 3:20 p.m. on March 28, 2017, an employee was MIG welding on a drum bolt located on the yolk of a wood hog that was still contaminated by a combustible gear hydraulic fluid residue.  The fluid residue burst into flames and the employee received burns on their upper body and chest area. ",Fire Burn
145,3/28/2017,"At 3:00 a.m. on March 28, 2017, an employee was clearing a jam to a conveyor belt system.  The employee caught their left hand between two rollers on an overhead conveyor belt system and pulled some skin back from their hand. ",Laceration
146,3/28/2017,"At 3:45 p.m. on March 28, 2017, an employee was cleaning out the back of a pick-up truck bed. The employee landed incorrectly when they attempted to climb out of the truck bed and fell to the ground.  The employee fractured their leg from their fall. ","Fracture, Broken Bones"
147,3/28/2017,"At 1:00 p.m. on March 28, 2017, an employee was on a step ladder washing windows.  She moved to step down and lost her balance, falling backwards.  The employee fell to the ground, fractured her hip, and was hospitalized for three days. ","Fracture, Broken Bones"
148,3/27/2017,"At approximately 12:57 p.m. on March 27, 2017, Employee #1 was moving a safety deposit box onto two manually operated hydraulic lifts.  After the box was moved onto the lifts it tipped over onto Employee #1s head, killing him. ",Serious Fall/Strike
149,3/27/2017,"At 12:30 p.m. on March 27, 2017, an employee was checking a ventilation system when it was not operating properly. The employee shut the ventilation system down and locked the machine.  The employee reached into the ventilation hood and his finger struck the blade that was still turning. The employee amputated their right middle finger to the second joint and thumb. ","Amputation, Crushing"
150,3/27/2017,"On March 27, 2017, an employee was climbing a ladder from one flat roof to another to service the HVAC system. The employee, while on the ladder, swung his bag of tools up to place on the roof. This motion, caused the ladder feet to slip and he fell to the lower roof. The employee fractured L4 vertebrae, for which he was hospitalized and treated. ",Serious Fall/Strike
151,3/27/2017,"At approximately 11:00 p.m. on March 27, 2017, Employee #1 was cleaning a mixing tank.  The power was turned on and Employee #1 was struck by the agitator and killed. ",Laceration
152,3/27/2017,"At approximately 11:00 p.m. on March 27, 2017, Employee #1 was cleaning a mixing tank.  The power was turned on and Employee #1 was struck by the agitator and killed. ","Bruising, Contusion"
153,3/27/2017,"At approximately 11:29 a.m. on March 27, 2017, Employee #1 was drilling a hole in a natural gas cylinder on top of a bus.  The tank rapidly depressurized once the drill bit penetrated the cylinder and Employee #1 was thrown approximately 20 feet off of the bus.  Employee #1 was killed.. .",Serious Fall/Strike
154,3/27/2017,"At 11:00 a.m. on March 27, 2017, an employee was walking away from a coworker and fell through a floor opening.  The employee suffered several fractured ribs and shoulder. ","Fracture, Broken Bones"
155,3/27/2017,"At 11:30 a.m. on March 27, 2017, an employee was sitting on a step to the unscrambler platform waiting for the equipment to return to normal operations. When the employee attempted to stand up, he placed his hand on or near an unguarded chain sprocket assembly.  The employee's glove was caught in the assembly and his hand was pulled in. The employee sustained injuries to four of their fingers on the right hand and the middle finger needed to be amputated at the first knuckle. ","Amputation, Crushing"
156,3/27/2017,"At 11:00 a.m. on March 27, 2017, an employee was stapling a plastic sheet onto a metal frame approximately 9 feet off the ground along the side of a greenhouse structure.  While adjusting the ladder, he lost his footing and fell from the ladder.  The employee landed on a 4 foot high wooden bench before hitting the pavement.   The employee fractured his back and was transported to hospital by a coworker. ","Fracture, Broken Bones"
157,3/27/2017,"At approximately 10:00 a.m. on March 27, 2017, an employee was climbing out of a scissor lift basket. The employee climbed out of the scissor lift before tying off to an anchor point. He fell 22-ft 10-in. through a 76-in. by 48-in. hole in the decking. The employee was hospitalized and treated for unspecified injuries. ",Head Trauma
158,3/27/2017,"At approximately 10:30 a.m. on March 27, 2017, an employee was tearing off the roof and slipped. The employee was wearing fall protection and the rope caught the gutter and swung the employee into the stairs. As a result the employee broke his ankle. The employee was not hospitalized. ","Fracture, Broken Bones"
159,3/27/2017,"At 10:15 a.m. on March 27, 2017, an employee was checking the tension on a revolving chain and caught their right index finger between the chain and it's sprocket.  The employee amputated the right index fingertip. ","Amputation, Crushing"
160,3/27/2017,"At approximately 10:15 a.m. on March 27, 2017, an employee and crew were laying pipe in east bound easement of FM 2252. The employee backed into a roadway and was struck by rear wheels of 18 wheeler truck. The employee was hospitalized and treated for fractured right leg. ","Fracture, Broken Bones"
161,3/27/2017,"At 10:45 a.m. on March 27, 2017, an employee was carrying a tire to put on a vehicle's hub when they tripped over a jack stand and fell to the floor, breaking their hip. ","Fracture, Broken Bones"
162,3/27/2017,"At 9:45 a.m. on March 27, 2017, an employee was arranging some equipment and materials on a flatbed truck. The employee's feet became tangled in their fall protection and they lost their balance, falling approximately 4 feet to the ground.  The employee suffered a broken leg when they hit the ground. ","Fracture, Broken Bones"
163,3/27/2017,"At 9:00 a.m. on March 27, 2017, an employee was squatting at a job site near the shaft.  The employee reach out to steady themselves as the employee stood. However, they grabbed onto a running shaft and the employee suffered finger trauma as well as amputating a fingertip. ","Amputation, Crushing"
164,3/27/2017,"At 9:15 p.m. on March 27, 2017, an employee was reassembling a CNC woodworking machine and was placing the sacrificial board back. The employee pinched his finger between the board and the table when a coworker turned on the vacuum and the board was pulled down on top of his finger.  The employee amputated the tip of their finger. ","Amputation, Crushing"
165,3/27/2017,"At 9:30 a.m. on March 27, 2017, an employee was learning to drive a motorized pallet jack.  The employee smashed their foot while operating the pallet jack. No other specifics regarding the accident were included in the initial report. ",Serious Fall/Strike
166,3/27/2017,"At 4:30 a.m. on March 27, 2017, an employee was cleaning a valve on a filler. The employee stuck their finger into the valve to clean it.  The employee released the button used to keep the valve open and it closed, amputating the right index fingertip. ","Amputation, Crushing"
167,3/27/2017,"At approximately 4:00 p.m. on March 27, 2017, Employee #1 was standing on the step of a forklift being operated by a coworker.  The coworker was placing a cage inside of a chicken house and was backing up.  Employee #1 fell or stepped off of the forklift and was struck by the forklift.  Employee #1 was killed. ","Bruising, Contusion"
168,3/27/2017,"At approximately 4:00 p.m. on March 27, 2017, an employee was helping to remove 16 foot 2 by 4 from a shelf in the yard with a forklift. While straddling the forks of a forklift loaded with wood 2 by 4. The employee's left pinky finger was amputated. The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
169,3/27/2017,"At approximately 2:15 p.m. on March 27, 2017, Employee #1 was trying to unplug a chute used to load screened corn into a grain trailer.  He fell or was pulled into the loading chute and died of suffocation. ","Asphyxiation, Drowning"
170,3/27/2017,"At approximately 2:00 p.m. on March 27, 2017, an employee was working on an elevator shaft landing. He picked up a 6 by 6 post and dropped it. The post broke and fell through the landing. The employee fell 9 feet through the first landing then 10 feet through the next landing. The employee was hospitalized and treated for two fractured ribs. ","Fracture, Broken Bones"
171,3/27/2017,"At 2:30 a.m. on March 27, 2017, an employee was troubleshooting the new Hamer mulch packaging line with the guards off. The employee reached into the running machine to pull out a stuck bag of mulch and his finger was pulled in between the rollers of the machine. The employee amputated the tip of their left index finger. ","Amputation, Crushing"
172,3/27/2017,"At approximately 1:32 p.m. on March 27, 2017, an employee was drilling holes on the concrete wall of the Filter Tank Number 4 (approximate dimensions of 34-ft-Length by 29-ft-Width by 15-ft-Depth) located outdoors. The employee fainted and fell the same level. The employee was found unconscious with the head injury and hematoma above left eye. The employee was hospitalized.	 ",Laceration
173,3/27/2017,"At 1:00 a.m. on March 27, 2017, an employee was removing burrs from manufactured steel.  The employee and a coworker were lifting a piece of steel and the lifting device slipped from the steel, pinching the employee's finger. The employee amputated their finger. ","Amputation, Crushing"
174,3/27/2017,"At 1:45 p.m. on March 27, 2017, an employee was feeding the plates and boards into the single head planer when the wood created a jam.  The employee lowered the table down but did not shut off power to the machine or lock the machine before reaching her right hand into the machine to clear the jam. The employee partially amputated her right middle and ring fingers when they struck the single head planer blades. ","Amputation, Crushing"
175,3/26/2017,"At 10:45 a.m. on March 26, 2017, an employee was pulling a tire from a wheel assembly using a Coats 5060 Rim Clamp Tire Changer, along with some standard tire changing hand tools.  He had placed the wheel on the table top of the Tire Changer securing it using a pedal-operated clamp.  After securing the wheel, the employee inserted a bead-lifting tool to lift the tire bead up and over the knob portion of the demount head to begin demounting the tire.  The employees glove and right hand were caught in between the tire and the demounting tool.  The wheel continued to rotate and pulled the employees hand, crushing it and amputating their right thumb. ","Amputation, Crushing"
176,3/26/2017,"At 10:30 a.m. on March 26, 2017, an employee pushed on the end of the paper roll shaft with expired core to slide one end into a new paper roll and remove the expired core off the other end near his hands.  The employee pinched one of their fingers be between the edges of the expired core and a cut-out in the metal shaft when the expired core broke free from the shaft and slide freely towards the employee's hand.  The employee amputated the tip of their right middle finger and fractured the same finger. ","Amputation, Crushing"
177,3/26/2017,"At 9:00 p.m. on March 26, 2017, an employee was clearing several jammed nails from inside the Injection Molded Plastic Collator Machine, M/N: PS-160.  The employee removed the circular guard and reached into the plastic strip collator with her right arm, to clear the jammed nails when the machine started up unexpectedly and her right arm was caught in the orientation wheel. The employee suffered several lacerations and sustained a fracture that required surgery. ",Laceration
178,3/26/2017,"At 4:15 p.m. on March 26, 2017, an employee was cutting ribeye with a bone-in meat bandsaw and amputated his left ring fingertip when it touched the blade. ","Amputation, Crushing"
179,3/25/2017,"At 11:30 p.m. on March 25, 2017, an employee was holding a hose that was being replaced by a coworker.  The employee was sprayed with chlorine liquid as a coworker unscrewed a transfer hose.  The employee suffered chemical burns from the chlorine liquid. ",Chemical Burn
180,3/25/2017,"At approximately 10:15 a.m. on March 25, 2017, Employee #1 was assisting with covering a barge when the cover shifted and startled him.  He ducked and moved away from the cover and stepped or attempted to jump to the barge next to him. He fell approximately 10 feet into the river and the current pulled him under the barge.  Employee #1 re-surfaced approximately 10 minutes later.  Employee #1 drowned. ",Serious Fall/Strike
181,3/25/2017,"At 10:03 on March 25, 2017, an employee was clearing a jam within the stamping machine.  The employee's finger was pinched by the stamping machine when it cycled and amputated their fingertip. ","Amputation, Crushing"
182,3/25/2017,"At 10:30 a.m. on March 25, 2017, an employee was operating a Jet Drill Press. The employee reached across the drill and caught their right middle finger on the drill bit.  The employee amputated their middle finger. ","Amputation, Crushing"
183,3/25/2017,"At 9:45 a.m. on March 25, 2017, an employee was switching out the collet for the spindle on the HAAS ST-10 machine to a smaller diameter collet.  A coworker started the machine and the employee looked to the rear of the machine and noticed that the aluminum bar stock was wobbling.  The bar stock snapped and swung vertically at approximately 800 revolutions per minute (RPM) where it hit the employees left arm and hand.  The employee suffered a large laceration and shattered bone within their thumb. ",Laceration
184,3/25/2017,"At 7:00 p.m. on March 25, 2017, an employee was walking in an aisle of the shoe department and tripped over a carton of shoes.  The employee fractured their femur when they fell to the floor. ","Fracture, Broken Bones"
185,3/25/2017,"At 7:00 p.m. on March 25, 2017, an employee was finishing work for the evening and was assisting a coworker to cover a telecommunication trench with trench plates.  The employee placed a hand underneath the trench plate and fractured his left ring fingertip. The employee was not hospitalized. ","Fracture, Broken Bones"
186,3/25/2017,"At 7:45 p.m. on March 25, 2017, an employee was operating a Soft Gel TS-SG10 Encapsulation Machine that was stationed in the encapsulation room.  The employee finished changing out the dye rolls to the encapsulation machine and was adding the shall/gelatin to the rollers to produce a new batch of pills when he noticed the liquid spreading out from the machine.  The employee reached into the machine and caught their small finger between a rotating roller and a fixed side of the machine.  The employee amputated the tip of their pinky finger from their left hand. ","Amputation, Crushing"
187,3/25/2017,"At approximately 4:30 p.m. on March 25, 2017, an employee was looking over the brick wall on his tippy toes and his hands on top of the wall.	The brick wall fell on top of the employee, trapping him against a tree. The employee suffered from broken left jaw, fracture of sinus and left eye socket. The employee was hospitalized and treated for his injuries.	 ",Dislocation
188,3/25/2017,"At 4:15 p.m. on March 25, 2017, and employee was changing out a machine.  The employee lifted the door and realized that he missed a step in the procedure and let the door go before it was locked in the ""up"" position.  The door came down on the employee's hand and amputated the tip of their ring finger. ","Amputation, Crushing"
189,3/25/2017,"At 4:30 p.m. on March 25, 2017, an employee was cleaning wood shaving and dust from a planer with a blow gun while it was running.  The employee mangled their left hand and amputated two fingers when the blow gun was caught by the planer , which pulled the employee's hand into its blades. ",Laceration
190,3/25/2017,"At 2:30 a.m. on March 25, 2017, an employee was cleaning a rotary valve cart used to transfer finished pellets to train carts for shipment. He lacerated his right hand's middle and ring fingers when they hit the valve vane blades. ",Laceration
191,3/24/2017,"On March 24, 2017, Employee #1 was found unresponsive at the bottom of a flight of stairs.  She was transported to a hospital and died the following day from cerebral injuries. ","Fracture, Broken Bones"
192,3/24/2017,"At 12:45 p.m. on March 24, 2017, an employee was cleaning underneath a loom. The employee reached in with their right hand into a cabinet/gearbox to remove jute while the loom was off.  A coworker started the loom and caught the employee's hand in the gearbox/cabinet.  The employee suffered a broken arm. ","Bruising, Contusion"
193,3/24/2017,"At 12:58 p.m. on March 24, 2017, an employee was operating a table saw.  The employee's finger was pulled into the saw blade by material being cut and amputated their right hand ring finger. ","Amputation, Crushing"
194,3/24/2017,"On March 24, 2017, an employee was working on the roof, carrying roofing panels. The employee unhooked his lanyard and was blown off the roof by a gust of wind and fell to the ground on a concrete surface.  The employee suffered from fractured skull, concussion and other broken bones and was hospitalized. ",Head Trauma
195,3/24/2017,"At 11:30 a.m. on March 24, 2017, an employee was packing boxes on the line 11 in the ""pack out"" area. The employee walked up to the window between production and packaging and dropped his pen.  The employee leaned down to pick it up and his right hand was near the unguarded running conveyor. The employee's arm was caught in the conveyor and he fractured his arm. ","Fracture, Broken Bones"
196,3/24/2017,"At 11:45 a.m. on March 24, 2017, an employee was putting frames into a 15 ton mechanical press brake. The employee cycled the press brake and caught the tip of her right middle finger, amputating it. ","Amputation, Crushing"
197,3/24/2017,"At 10:45 p.m. on March 24, 2017, an employee was reaching into the discharge area of a dust collector attached to a  Zuri Molder. The employee amputated the tip of their right index finger when it came into contact with the rotary lock valve. ","Amputation, Crushing"
198,3/24/2017,"At 10:47 p.m. on March 24, 2017, an employee was backing up into a warehouse rack and was caught between the rack and stand-up forklift.  The employee suffered trauma to their chest. ",Serious Fall/Strike
199,3/24/2017,"At 10:00 a.m. on March 24, 2017, an employee was working as a maintenance man and was changing light bulbs in the facility's ceiling. The employee was standing on a wooden job built scaffold work platform placed on the forks of a Mitsubishi Model FCC30 propane powered forklift and fell 12 to 14 feet to the ground.  The employee suffered fractured wrists and bruised ribs. The employee was hospitalized for 3 days. ","Bruising, Contusion"
200,3/24/2017,"At approximately 10:00 a.m. on March 24, 2017, an employee was installing metal roof sheet on the ridge section of new metal roof. The employee saw two coworkers on the other side of the ridge that ducked down to avoid being hit by some skylight sheets that went flying with a wind gust and the employee stated that he disconnected from his self-retractable lanyard to move faster toward his coworkers to assist them when another wind gust blew a roof sheet towards him and knocked the employee over the edge falling 27 feet to the hard ground. He suffered from fractures to the skull, ribs, shoulder, and foot and punctured lung. The employee was hospitalized and treated for his injuries. ",Head Trauma
201,3/24/2017,"At 9:30 a.m. on March 24, 2017, an employee was lifting a peanut dump cart frame over an axle that was to be attached during the manufacturing process. The employee was using two 2-ton floor-operated cranes in conjunction with two steel chain slings to perform the lifting task.  During the lifting process the front end of the frame came detached allowing the frame to fall to the floor. The rear of the frame landed on the axle creating a gap between part of the bottom of the frame and floor. The employee tripped and was pinned between the bottom of the frame and floor.  The employee suffered a broken hip and a fractured T12 vertebrae. ","Fracture, Broken Bones"
202,3/24/2017,"At approximately 9:00 a.m. on March 24, 2017, an employee was overseeing the loading of concrete jersey barriers on his low boy trailer. The employee directed the loader operator to move the forward right end of the concrete barrier to straighten it out on the trailer. When the loader operator went to raise the forward right end of the barrier with forks underneath the barrier wall, the left fork tip got caught between the trailer wood and a bolt. As operator continued to raise the end of the barrier wall it broke free and the concrete barrier weighing 5,000 lbs fell off the low boy and on to the employee's foot and ankle. The employee was admitted to hospital for fractured ankle. However, the blood vessels did not heal, resulting in left leg amputation from below the knee on March 30, 2017. ","Fracture, Broken Bones"
203,3/24/2017,"At 9:00 a.m. on March 24, 2017, an employee was covering a wooden formwork panel that loaded on a flatbed trailer with a tarpaulin.  The employee was kneeling and spreading the tarpaulin and stood up, lost their balance, and fell approximately 7 feet to the ground. The employee was admitted to the Eden Medical Center and treated for fractured ribs and a left shoulder separation. The employee was released on March 29, 2017. ","Fracture, Broken Bones"
204,3/24/2017,"At 9:30 a.m. on March 24, 2017, an employee was climbed a 10 foot stepladder to look over an 8 foot platform.  The employee fell off the ladder and landed on the concrete floor.  EMS responded and transported the employee to Saint Francis Medical Center where he was treated for a laceration to the back of their head and a fractured clavicle. ",Head Trauma
205,3/24/2017,"At 9:30 a.m. on March 24, 2017, an employee was pulling a dumpster from an enclosure.  The employee crushed their pinky finger when it was caught between the dumpster and the enclosure wall.  The employee's pinky was amputated as a result. ","Amputation, Crushing"
206,3/24/2017,"At approximately 8:00 p.m. on March 24, 2017, Employee #1, a mechanic, was sitting in a chair and collapsed.  Employee #1 died of natural causes however, there was a possible methylene chloride exposure. ",Serious Fall/Strike
207,3/24/2017,"At 8:00 a.m. on March 24,2017, an employee was removing a label from the side of a spinning paper rolland their hand was pulled into the equipment.  The employee had a patch of skin torn from their arm. oyee had a patch of skin torn from their arm.",Serious Fall/Strike
208,3/24/2017,"At approximately 8:20 a.m., on March 24, 2017, an employee engaged in residential construction activities as a framer, was standing on the top of a lumber beam at the third floor level, approximately 30 feet above the ground, while unloading lumber from a forklift. The employee lost his balance and fell to the ground. Emergency services were called and the employee was taken to Westchester Medical Center, where he was hospitalized and treated for multiple fractures. The employee was not wearing any fall arrest system or using any other fall prevention methods. ","Bruising, Contusion"
209,3/24/2017,"At 1:45 p.m. on March 24, 2017, an employee was feeding a piece of wood into a table saw which did not have a guard.  The employee had their hand pulled into the saw blade and amputated the tip of their finger. ","Amputation, Crushing"
210,3/24/2017,"At 1:00 p.m. on March 24, 2017, an employee was working with three other coworkers that were hydro-testing some tubing in a well.  The crew installed a circulating head with a PGSR rubber to contain the gasses from the well but first installed one that was too large.  They pulled it from the well and replaced it with a smaller version; however, one of the coworkers opened the slips while the employee was holding onto the API ring with their left hand. The coworker lowered the elevator and the employee had their thumb pinched and crushed between the API ring and the elevator.  The employee sustained a partial amputation of their left thumb. heir left thumb.","Amputation, Crushing"
211,3/23/2017,"At approximately 12:30 p.m. on March 23, 2017, Employee #1 was installing seamless aluminum gutters from a ladder jack scaffold, approximately 15 foot high.  He fell, suffering head, neck and upper torso injuries and died. ",Serious Fall/Strike
212,3/23/2017,"On March 23, 2017, Employee #1, the company owner, was trimming a tree top from a bucket truck approximately 30 to 40 feet up. The piston on the boom extension snapped, causing the bucket to swing around and crash into the drivers side of the truck. Employee #1 sustained broken ribs and was hospitalized for his injuries. ","Bruising, Contusion"
213,3/23/2017,"At 12:35 p.m. on March 23, 2017, Employee #1 was working on the Number 165 Massenzana printing press. The ink sensor was malfunctioning so the employee came to troubleshoot and clean off the sensor. As he pulled on the wire to the sensor, the rollers activated, and the employee's left hand was pulled into the anilox and rubber ink rollers. Employee #1 sustained a three finger amputation to his left hand. The accident was unwitnessed. ","Amputation, Crushing"
214,3/23/2017,"At 12:15 p.m. on March 23, 2017, Employee #1 was installing studs in the case of an engine being assembled. While moving the installer equipment and case, the employee accidentally cycled the equipment, catching his glove on the revolving shaft of the stud installer, and amputating his right thumb. ","Amputation, Crushing"
215,3/23/2017,"At approximately 11:00 a.m. on March 23, 2017, Employee #1 was applying cold patch material to a road surface when he was struck by a  vehicle backing up. Employee #1 was killed. ",Serious Fall/Strike
216,3/23/2017,"At 11:45 a.m. on March 23, 2017, Employee #1 was driving a Toyota LPG forklift, Model number 7FBEU20, and Serial number 22464, unloading a pallet at the nose of a 24 foot straight truck, when a loose box fell from the pallet. The employee dismounted from the forklift to pick up the loose box and his ankle became pinned between the forks of the forklift and a skid.  Employee #1 sustained a fractured ankle and was hospitalized as a result of his injury. ",Laceration
217,3/23/2017,"At approximately 11:00 a.m. on March 23, 2017, an employee was making a closed hem on a 10 foot long J trim on a powered leaf brake. He was positioning the J trim to complete the closed hem.  The employee wanted to raise (open) the clamping bar more to remove the part, but stepped on the wrong foot pedal which lowered (closed) the clamping bar.  The employee's finger was in the pinch point between the clamping bar and material. The tip of the right thumb was smashed. The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
218,3/23/2017,"At approximately 11:30 a.m. on March 23, 2017, two employees were cutting through a concrete floor to replace a sewer pipe inside a hallway of a condominium complex.  The employees were using a gas powered concrete saw. The concrete saw was equipped with a Foley Industrial Engine Exhaust Purifier which was supposed to reduce carbon monoxide to a safe level.  The exhaust purifier which was a bolt on a catalytic converter would only reduce carbon monoxide levels to 5,000 ppm per information from the manufacturer's website information. The employees began to experience light headedness, headaches, disorientation, and tingling in hands from exposure to the exhaust from the gas powered concrete saw. The employees were exposed to carbon monoxide levels which exceeded 50 ppm as an 8 hour time weighted after just 30 minutes of exposure.  The fire department measured carbon monoxide levels of over 300 ppm.  Carboxyhemoglobin levels two hours after exposure were 19.5% and 18.2%. The employees did not lose consciousness and were not hospitalized. ","Asphyxiation, Drowning"
219,3/23/2017,"At 10:15 p.m. on March 23, 2017, an employee was reaching to remove an extra nut placed by the welding machine automatic feeder.  The employee inadvertently pressed the start button to cycle the machine and the welder tips came together when their left index finger was in the point of operation.The employee amputated their left index fingertip. ted their left index fingertip.","Amputation, Crushing"
220,3/23/2017,"At approximately 9:18 a.m. on March 23, 2017, an employee was raking cement while walking backwards. The employee fell over an unprotected edge at a stairway opening, approximately 12 feet to the metal stairs and floor. He suffered lacerations to the back of the head and a bruised back. The employee was not hospitalized. ",Laceration
221,3/23/2017,"At approximately 9:45 a.m. on March 23, 2017, Employee #1 was bleeding off pressure when he released too much pressure and the 2-inch pipe struck him. Employee #1 suffered fractured ribs and two fractured vertebras and was hospitalized. ","Fracture, Broken Bones"
222,3/23/2017,"At 9:00 a.m. on March 23, 2017, Employee #1 was cleaning an idle roller. The employee's arm was sucked into the machine. His arm became caught between the material stock and the idle roller, breaking it in two places. Employee #1 was hospitalized for his injuries. ","Fracture, Broken Bones"
223,3/23/2017,"At approximately 9:30 a.m. on March 23, 2017, Employee #1 was standing approximately 15 feet from a flatbed truck that was off loading a crate of plate glass.  The boom snapped and struck Employee #1 who suffered a head injury.  Employee #1 was hospitalized and died. ",Serious Fall/Strike
224,3/23/2017,"At 8:10 a.m. on March 23, 2017, Employee #1 was walking adjacent to an exhaust fan. The blade of the fan was unguarded.The employee's hand came into contact with the fan blades and his index finger was amputated. ","Amputation, Crushing"
225,3/23/2017,"At 8:35 a.m. on March 23, 2017, Employee #1 was escorting an inmate out of a cell. While manually closing the cell door, the employee's pinky finger got caught between the door handle and frame, causing the tip of his pinky finger to be amputated. amputated.","Amputation, Crushing"
226,3/23/2017,"At approximately 7:00 a.m. on March23, 2017, an employee was in transit to his work area at the beginning of his shift and was climbing a ladder from the first floor to the second floor. The employee was the third individual to ascend the ladder. He made it approximately 75 percent of the way up the ladder when he missed a ladder rung with his foot. The employee fell approximately 10 feet to the ground striking his head on the concrete floor below. The employee suffered head trauma and was hospitalized. ",Serious Fall/Strike
227,3/23/2017,"At approximately 5:30 p.m. on March 23, 2017, an employee was working on a construction site where building renovation was taking place at multiple high rise office buildings.  A subcontractor was installing ceramic tiles for the general contractor, who was in charge of renovating the buildings located in the business plaza. The employee was using a steel drywall cart to move the ceramic tiles that measured approximately 5-ft by 10-ft from the truck to the location of the job site and then inside the building where they were to be installed. As he started to move the cart of tiles from the loading dock, the caster got caught in the dock leveler and the tiles fell onto the employees leg.  The tiles being transported via cart were not secured while they were being moved. The employees leg was fractured for which he was hospitalized. ","Fracture, Broken Bones"
228,3/23/2017,"At approximately 4:00 p.m. on March 23, 2017, Employee #1, a carpenter, was drilling 0.25-inch holes in a precast concrete ceiling panel working from a 10 foot high step ladder.  He was found on the floor with the ladder on top of him, dead. ",Head Trauma
229,3/23/2017,"At approximately 4:00 p.m. on March 23, 2017, Employee #1, a carpenter, was drilling 0.25-inch holes in a precast concrete ceiling panel working from a 10 foot high step ladder.  He was found on the floor with the ladder on top of him, dead. ",Head Trauma
230,3/23/2017,"At 3:00 p.m. on March 23, 2017, Employee #1 was lifting propane bottles. The next morning, the employee felt pain and was hospitalized. ",Serious Fall/Strike
231,3/23/2017,"At 3:30 p.m. on March 23, 2107, an employee was replacing a blow bar while standing on a rotor when a coworker removed the safety pin causing the rotor to rotate and pin the employee between the structure and rotor.  The employee suffered a deep laceration to their leg. ","Bruising, Contusion"
232,3/23/2017,"At approximately 3:00 p.m. on March 23, 2017, an employee was cutting a wall opening using as saw for HVAC duct. He fell off an A frame ladder and fractured his wrist. The employee was hospitalized and treated for his injuries.	 ","Fracture, Broken Bones"
233,3/23/2017,"At 2:40 p.m. on March 23, 2017, Employee #1 was cutting meat with a band saw. The employee was attempting to make a cut on a relatively small portion of a bone-in beef shank when the bone contacted the blade of the saw. The employee lost control of the meat, causing his right hand to come in contact with the saw blade. Employee #1's thumb and ring finger were amputated by the exposed saw blade. ","Amputation, Crushing"
234,3/23/2017,"At 2:30 p.m. on March 23, 2017, Employee #1 was feeding material inside the densifier machine. The employee's right arm became wrapped in the plastic that was being fed into the machine, and was amputated. ","Amputation, Crushing"
235,3/23/2017,"At 1:37 p.m. on March 23, 2017, Employee #1 was cleaning a power-driven chain and sprocket. The employee was using a rag and a spray can of degreaser for cleaning, while the chain and sprocket were running. The rag got caught in the pinch point of the chain and sprocket. His right middle finger was drawn into the pinch point and the tip of the finger was amputated. Employee #1 underwent a bone reduction for the injury. ","Amputation, Crushing"
236,3/23/2017,"At 1:20 p.m. on March 23, 2017, Employee #1 was snow tubing down a hill. The employee struck a clump of trees and suffered multiple arm fractures, five broken ribs, a punctured lung, and kidney damage. Employee #1 was hospitalized for his injuries. ",Puncture
